"",""
"Variables","Win","Loss"
"Overall...","1","8"
"Home...","1","4"
"Away...","0","4"
"Decided by three points or less...","0","1"
"Score 100-plus...","1","3"
"Score 99 or below...","0","5"
"Opponents score 100-plus...","0","6"
"Opponents score 99 or below...","1","2"
"Outshooting opponent (tied)...","1","1"
"Outshot by opponent...","0","7"
"More rebounds than opponent (tied)...","0","2"
"Fewer rebounds than opponent...","1","6"
"More assists than opponent (tied)...","1","3"
"Fewer assists than opponent...","0","5"
"More FTA than opponent (tied)...","1","4"
"Fewer FTA than opponent...","0","4"
"More 3FG than opponent (tied)...","0","5"
"Fewer 3FG than opponent...","1","3"
"More steals than opponent (tied)...","0","3"
"Fewer steals than opponent...","1","5"
"More blocks than opponent (tied)...","1","2"
"Fewer blocks than opponent...","0","6"
"More 2nd-chance points than opponent (tied)...","1","4"
"Fewer 2nd-chance points than opponent...","0","4"
"More fastbreak points than opponent (tied)...","0","2"
"Fewer fastbreak points than opponent...","1","6"
"More points in the paint than opponent (tied)...","1","2"
"Fewer points in the paint than opponent...","0","6"
"Leading after first quarter (tied)...","1","2"
"Trailing after first quarter...","0","6"
"Leading at halftime (tied)...","1","2"
"Trailing at halftime...","0","6"
"Leading after third quarter (tied)...","1","1"
"Trailing after third quarter...","0","7"
"Second game of back-to-back...","0","2"
"More bench points than the opponents (tied)...","1","4"
"Fewer bench points than the opponents...","0","4"
